"","ABCE Facility ID","State","Year","Area","Region","Cadre","Facility","Cadre_Centre","HSA","CAF","IAF","WISN","WISN_round"
"1",3,"OD","2009","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",4.56416349809886,1.27053140096618,1.38403041825095,7.18294346172921,7
"2",3,"OD","2010","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",5.0866075200676,1.27053140096618,1.38403041825095,7.84672499688756,8
"3",3,"OD","2011","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",5.448563582594,1.27053140096618,1.38403041825095,8.30660154009744,8
"4",3,"OD","2012","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",4.45991761723701,1.27053140096618,1.38403041825095,7.05049579667285,7
"5",3,"OD","2013","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",4.77450359104352,1.27053140096618,1.38403041825095,7.45018715469754,7
"6",8,"OD","2009","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",2.11009188846641,1.2729912875121,1.4532319391635,4.1393605290312,4
"7",8,"OD","2010","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",1.59407477820025,1.2729912875121,1.4532319391635,3.48247524345521,4
"8",8,"OD","2011","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",1.44502534854246,1.2729912875121,1.4532319391635,3.29273661809219,3
"9",8,"OD","2012","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",1.22644169835234,1.2729912875121,1.4532319391635,3.01448153580758,3
"10",8,"OD","2013","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",2.12029467680608,1.2729912875121,1.4532319391635,4.15234858969593,4
"11",11,"AP & TG","2007","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",1.42099704267005,1.26726630260199,0.0283903675538657,1.8291720358267,2
"12",11,"AP & TG","2008","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",1.27544712012393,1.26726630260199,0.0283903675538657,1.64472152363767,2
"13",11,"AP & TG","2009","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",1.30226024503591,1.26726630260199,0.0283903675538657,1.67870089330609,2
"14",11,"AP & TG","2010","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",1.34233206590621,1.26726630260199,0.0283903675538657,1.72948256157892,2
"15",11,"AP & TG","2011","Rural","rural","Medical officer","Community Health Centre (CHC)","GDMO_CHC",1.07346148429799,1.26726630260199,0.0283903675538657,1.38875193374582,2
